Owner,Vehicle Type,Vehicle Number,Vehicle Status,Facility,Location,Load,Yard Dwell Time,Location Dwell Time
BIDH,Trailer,368400,Empty,AVP9,PS549,,"6 day(s), 12 hour(s), 7 minute(s)","3 day(s), 3 hour(s), 55 minute(s)"
BIDH,Skirted Trailer,W98379,Empty,AVP9,PS562,,"5 day(s), 11 hour(s), 50 minute(s)","5 day(s), 11 hour(s), 50 minute(s)"
BIDH,Skirted Trailer,532345,Empty,AUS3,PS916,,"5 day(s), 11 hour(s), 50 minute(s)","1 day(s), 16 hour(s), 42 minute(s)"
BIDH,Trailer,KR210239,Empty,SMF7,OSY-700CROCKER,,"5 day(s), 10 hour(s), 55 minute(s)","4 day(s), 14 hour(s), 14 minute(s)"
BIDH,Trailer,D53753,Empty,IND9,PS913,,"5 day(s), 21 hour(s), 35 minute(s)","5 hour(s), 29 minute(s)"
BIDH,Trailer,7326158,Empty,MQJ1,PS456,,"5 day(s), 21 hour(s), 31 minute(s)","4 day(s), 8 hour(s), 16 minute(s)"
BIDH,Trailer,569539,Empty,MCI9,PS611,,"5 day(s), 18 hour(s), 5 minute(s)","5 day(s), 18 hour(s), 5 minute(s)"
BIDH,Trailer,7323626,Empty,SDFA,LUK OF3,,"5 day(s), 18 hour(s), 1 minute(s)","4 day(s), 20 hour(s), 34 minute(s)"
BIDH,Trailer,7328660,Empty,AVP9,WS392,,"5 day(s), 12 hour(s), 4 minute(s)","4 day(s), 21 hour(s), 58 minute(s)"
BIDH,Trailer,7328521,Empty,RDU1,PS731,,"4 day(s), 10 hour(s), 2 minute(s)","4 day(s), 10 hour(s), 2 minute(s)"
AZNG,Skirted Trailer,V507553,Not empty,ATL2,PS605,"VR_ID 1129T8ZVH
ISA 7029562992","4 day(s), 10 hour(s), 31 minute(s)","4 day(s), 10 hour(s), 31 minute(s)"
BIDH,Trailer,243785,Empty,CMHA,PS223,,"4 day(s), 9 hour(s), 23 minute(s)","1 day(s), 22 hour(s), 38 minute(s)"
APAAG,Trailer,1932251PLA,Empty,HBF5,Offsite Yard,,"4 day(s), 8 hour(s), 25 minute(s)","4 day(s), 8 hour(s), 25 minute(s)"
BIDH,Trailer,1637556A,Empty,AZAB,PS616,,"4 day(s), 8 hour(s), 41 minute(s)","4 day(s), 18 hour(s), 7 minute(s)"
BIDH,Trailer,p5191612,Not empty,WMO1,Temp PS 001,,"4 day(s), 7 hour(s), 7 minute(s)","4 day(s), 6 hour(s), 12 minute(s)"
BIDH,Trailer,BL000136,Empty,FTW6,PS512A,,"4 day(s), 6 hour(s), 18 minute(s)","4 day(s), 6 hour(s), 18 minute(s)"
BIDH,Skirted Trailer,W85707,Empty,JAX7,PS620-3P Empty,,"4 day(s), 6 hour(s), 41 minute(s)","4 day(s), 6 hour(s), 41 minute(s)"
BIDH,Trailer,ptlz201094,Empty,RICB,PS431,,"4 day(s), 5 hour(s), 23 minute(s)","4 day(s), 5 hour(s), 23 minute(s)"
BIDH,Trailer,CP0025,Empty,AVPA,DD67,,"4 day(s), 4 hour(s), 8 minute(s)","1 day(s), 1 hour(s), 15 minute(s)"
BIDH,Trailer,2033491PLA,Empty,DFW7,IB418,,"4 day(s), 3 hour(s), 6 minute(s)","4 day(s), 3 hour(s), 6 minute(s)"
BIDH,Trailer,G001131,Empty,MQJ1,PS464,,"4 day(s), 24 hour(s), 36 minute(s)","4 day(s), 24 hour(s), 36 minute(s)"
BIDH,Trailer,906166,Empty,ATL6,546,,"4 day(s), 22 hour(s), 0 minute(s)","3 day(s), 5 hour(s), 23 minute(s)"
BIDH,Skirted Trailer,7324076,Empty,DAL3,PS505A,,"4 day(s), 21 hour(s), 26 minute(s)","3 day(s), 1 hour(s), 20 minute(s)"
BIDH,Skirted Trailer,535489,Empty,SLCA,Offsite,,"4 day(s), 21 hour(s), 57 minute(s)","4 day(s), 15 hour(s), 3 minute(s)"
BIDH,Skirted Trailer,7328724,Empty,MQJ1,PS469,,"4 day(s), 20 hour(s), 3 minute(s)","4 day(s), 20 hour(s), 3 minute(s)"
BIDH,Skirted Trailer,7322508,Empty,MDW8,PS300,,"4 day(s), 19 hour(s), 23 minute(s)","4 day(s), 19 hour(s), 23 minute(s)"
BIDH,Trailer,JR112239,Empty,MQJA,PS464,,"4 day(s), 19 hour(s), 21 minute(s)","4 day(s), 19 hour(s), 21 minute(s)"
BIDH,Trailer,7328728,Empty,AUS3,PS814,,"4 day(s), 19 hour(s), 8 minute(s)","2 day(s), 15 hour(s), 49 minute(s)"
BIDH,Trailer,7327623,Empty,AVPA,DD63,,"4 day(s), 19 hour(s), 56 minute(s)","3 day(s), 12 hour(s), 48 minute(s)"
BIDH,Trailer,BL0025,Empty,AVPA,DD68,,"4 day(s), 19 hour(s), 52 minute(s)","3 day(s), 3 hour(s), 3 minute(s)"
BIDH,Trailer,33153,Empty,HMK4,PS217,,"4 day(s), 18 hour(s), 26 minute(s)","4 day(s), 18 hour(s), 26 minute(s)"
AIRDE,Skirted Trailer,CP0013,Empty,HAT2,PSY-PS004,,"4 day(s), 16 hour(s), 23 minute(s)","3 day(s), 19 hour(s), 55 minute(s)"
BIDH,Trailer,7322612,Empty,HRN1,HRN1 Offsite,,"4 day(s), 16 hour(s), 22 minute(s)","11 hour(s), 5 minute(s)"
APAAG,Trailer,1931661pl,Empty,HBF5,Offsite Yard,,"4 day(s), 15 hour(s), 48 minute(s)","4 day(s), 14 hour(s), 38 minute(s)"
BIDH,Trailer,ptlz201768,Empty,MEM4,PS362,,"4 day(s), 14 hour(s), 13 minute(s)","1 day(s), 15 hour(s), 10 minute(s)"
BIDH,Skirted Trailer,7323438,Empty,AVP9,WS390,,"3 day(s), 11 hour(s), 22 minute(s)","3 day(s), 11 hour(s), 22 minute(s)"
BIDH,Trailer,P5193206,Empty,AZAB,PS625,,"3 day(s), 11 hour(s), 5 minute(s)","2 day(s), 5 hour(s), 22 minute(s)"
BIDH,Trailer,6327302,Empty,HLA2,Offsite Parking,,"3 day(s), 8 hour(s), 15 minute(s)","3 day(s), 8 hour(s), 15 minute(s)"
BIDH,Trailer,5622253,Empty,AZAB,PS612,,"3 day(s), 8 hour(s), 49 minute(s)","3 day(s), 13 hour(s), 45 minute(s)"
BIDH,Trailer,PTLZ220802,Empty,DAL3,PS618,,"3 day(s), 8 hour(s), 44 minute(s)","3 day(s), 8 hour(s), 44 minute(s)"
BIDH,Skirted Trailer,W25881,Empty,PDXB,PS269,,"3 day(s), 7 hour(s), 53 minute(s)","3 day(s), 15 hour(s), 15 minute(s)"
BIDH,Trailer,7328393,Empty,AUS5,PS509,,"3 day(s), 6 hour(s), 3 minute(s)","3 day(s), 20 hour(s), 55 minute(s)"
BIDH,Trailer,7328520,Empty,DSM9,PS709,,"3 day(s), 6 hour(s), 54 minute(s)","3 day(s), 1 hour(s), 38 minute(s)"
BIDH,Trailer,50353,Empty,RDUA,PS439,,"3 day(s), 6 hour(s), 47 minute(s)","3 day(s), 3 hour(s), 42 minute(s)"
BIDH,Skirted Trailer,1007,Empty,AUS5,PS533,,"3 day(s), 5 hour(s), 17 minute(s)","3 day(s), 21 hour(s), 0 minute(s)"
BIDH,Skirted Trailer,BL000137,Empty,MQJ5,PS893,,"3 day(s), 5 hour(s), 53 minute(s)","3 day(s), 5 hour(s), 47 minute(s)"
BIDH,Trailer,1931890pla,Empty,ONT8,North Patterson,,"3 day(s), 4 hour(s), 54 minute(s)","3 day(s), 4 hour(s), 54 minute(s)"
BIDH,Skirted Trailer,W98389,Empty,SLCA,PS553,,"3 day(s), 3 hour(s), 41 minute(s)","3 day(s), 3 hour(s), 41 minute(s)"
BIDH,Trailer,7328730,Empty,FAT1,PS470,,"3 day(s), 3 hour(s), 33 minute(s)","3 day(s), 14 hour(s), 56 minute(s)"
BIDH,Skirted Trailer,W93961,Empty,HRN1,HRN1 Offsite,,"3 day(s), 2 hour(s), 42 minute(s)","11 hour(s), 5 minute(s)"
BIDH,Trailer,7328645,Empty,HDA3,PS223,,"3 day(s), 23 hour(s), 29 minute(s)","3 day(s), 18 hour(s), 23 minute(s)"
